Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Geographic_location_(depth),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id,water_environmental_package,chlorophylla_ngml,diss_org_carb_mgcl,Extra,soluble_react_phosp_um,tdn_mgnl,tp_um,chloride_mgl,ammonium_ppb,conduc_ms,Salinity_ppt,Temp,tot_carb_mgkg,tot_nitro_mgkg,chem_administration,sulfate_mgl,Calcium_ppm,Magnesium_ppm,Potassium_ppm
ERR2143768,WGS,502,14643340,PRJEB22811,SAMEA104324795,8061120,J CRAIG VENTER INSTITUTE,2012-05-25,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200301,SAMEA104324795,Mexico,North America,Mexico,0.3,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP1ASEDIMENT120525,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324795,JP1ASEDIMENT120525,WGS,ERP104517,JP1ASEDIMENT120525,water,,,,,,,,,,,,56740,3000,,,,,
ERR2143769,WGS,502,6786538,PRJEB22811,SAMEA104324810,3640567,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200302,SAMEA104324810,Mexico,North America,Mexico,0.165,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP1B120627SEDRESIZEDAMP,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324810,JP1B120627SEDRESIZEDAMP,WGS,ERP104517,JP1B120627SEDRESIZEDAMP,water,,,RESIZEDAMP,,,,,,,,,54230,3200,NH4NO3 and KH2PO4,,,,
ERR2143770,WGS,502,9363806,PRJEB22811,SAMEA104324811,4960570,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200303,SAMEA104324811,Mexico,North America,Mexico,0.165,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP1BSEDIMENT120627,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324811,JP1BSEDIMENT120627,WGS,ERP104517,JP1BSEDIMENT120627,water,,,,,,,,,,,,54230,3200,NH4NO3 and KH2PO5,,,,
ERR2143771,WGS,502,283466348,PRJEB22811,SAMEA104324799,153990298,J CRAIG VENTER INSTITUTE,2012-05-25,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200304,SAMEA104324799,Mexico,North America,Mexico,0.3,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP1C120525WATERRESIZEDAMP,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324799,JP1C120525WATERRESIZEDAMP,WGS,ERP104517,JP1C120525WATERRESIZEDAMP,water,10.184,30.9,RESIZEDAMP,0.21215554,2.1,,,239.78,,,,,,,,,,
ERR2143772,WGS,502,351521986,PRJEB22811,SAMEA104324800,186619282,J CRAIG VENTER INSTITUTE,2012-05-25,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200305,SAMEA104324800,Mexico,North America,Mexico,0.3,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP1CWATER120525,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324800,JP1CWATER120525,WGS,ERP104517,JP1CWATER120525,water,10.184,30.9,,0.21215554,2.1,,,239.78,,,,,,,,,,
ERR2143773,WGS,502,345989946,PRJEB22811,SAMEA104324819,187582109,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200306,SAMEA104324819,Mexico,North America,Mexico,0.165,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:47Z,public,Illumina MiSeq,metagenome,JP1DASH3WATER120627,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:55:00Z,1,SAMEA104324819,JP1DASH3WATER120627,WGS,ERP104517,JP1DASH3WATER120627,water,42.934,53,DASH,0.24840781,4,7.9901977,344.669,,11.06,6.9,20.5,,,NH4NO3 and KH2PO6,5303,,,
ERR2143774,WGS,502,17464078,PRJEB22811,SAMEA104324784,9593644,J CRAIG VENTER INSTITUTE,2011-05-13,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200307,SAMEA104324784,Mexico,North America,Mexico,0.22,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP1SEDIMENT110513,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324784,JP1SEDIMENT110513,WGS,ERP104517,JP1SEDIMENT110513,water,,,,,,,,,,,,,,,,,,
ERR2143775,WGS,502,490381712,PRJEB22811,SAMEA104324789,263710545,J CRAIG VENTER INSTITUTE,2011-05-14,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200308,SAMEA104324789,Mexico,North America,Mexico,0.22,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP1WATER110514,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:55:00Z,1,SAMEA104324789,JP1WATER110514,WGS,ERP104517,JP1WATER110514,water,13.653,27.2,,0.060291726,1.9,1.810977,5958.8,12.76,,,,,,,,753.732,588.054,41.483
ERR2143776,WGS,502,300475112,PRJEB22811,SAMEA104324785,167170121,J CRAIG VENTER INSTITUTE,2011-05-13,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200309,SAMEA104324785,Mexico,North America,Mexico,0.3,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP2110513SEDIMENT,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:55:00Z,1,SAMEA104324785,JP2110513SEDIMENT,WGS,ERP104517,JP2110513SEDIMENT,water,,,,,,,,,,,,,,,,,,
ERR2143777,WGS,502,1029493568,PRJEB22811,SAMEA104324790,571561911,J CRAIG VENTER INSTITUTE,2011-05-14,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200310,SAMEA104324790,Mexico,North America,Mexico,0.3,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP2110514WATERAMP,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:55:00Z,1,SAMEA104324790,JP2110514WATERAMP,WGS,ERP104517,JP2110514WATERAMP,water,16.531,26,AMP,0.044672165,1.8,1.9018978,7929,21.76,,,,,,,,768.291,565.542,39.398
